what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1554113380674
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1554113380674
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1554113380674
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1554113380690
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1554113380690
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1554113380690
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1554113380690
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1554113380690
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1554113380690
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1554113380690
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1554113380690
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1554113380690
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1554113380690
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1554113380690
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1554113380690
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1554113380690
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1554113380690
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1554113380690
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1554113380690
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1554113380690
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1554113380690
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1554113380690
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1554113380690
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1554113380690
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1554113380690
started,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1554113380690
os,sysinfo,,,"win32",1554113380690
arch,sysinfo,,,"x86_64",1554113380690
ws,sysinfo,,,"win32",1554113380690
locale,sysinfo,,,"en_US",1554113380690
processors,sysinfo,,,"8",1554113380690
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1554113380690
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1554113380690
java.specification.name,sysinfo,,,"Java Platform API Specification",1554113380690
java.specification.vendor,sysinfo,,,"Oracle Corporation",1554113380690
java.specification.version,sysinfo,,,"1.8",1554113380690
java.vendor,sysinfo,,,"Oracle Corporation",1554113380690
java.version,sysinfo,,,"1.8.0_201",1554113380690
